periode;main_branch;branch;cif;norek;type;nama;pn_pengelola;balance;aval_balance;avg_balance;open_date
2025-01-15;KC Bandung;10272;1000000001;1000000000001;Tabungan;Nasabah 00001;PN108303;133200000;222000000;222000000;2021-07-12
2025-01-15;KC Jakarta;10168;1000000002;1000000000002;Tabungan;Nasabah 00002;PN108728;231500000;463000000;463000000;2024-04-01
2025-01-15;KC Medan;10059;1000000003;1000000000003;Deposito;Nasabah 00003;PN104059;175380000;222000000;222000000;2023-10-22
2025-01-15;KC Semarang;10066;1000000004;1000000000004;Tabungan;Nasabah 00004;PN105761;149250000;199000000;199000000;2023-03-20
2025-01-15;KC Bandung;10764;1000000005;1000000000005;Deposito;Nasabah 00005;PN100561;362400000;453000000;453000000;2023-09-19
2025-01-15;KC Medan;10762;1000000006;1000000000006;Deposito;Nasabah 00006;PN106568;105900000;353000000;353000000;2024-11-17
2025-01-15;KC Bandung;10170;1000000007;1000000000007;Giro;Nasabah 00007;PN100806;246370000;347000000;347000000;2023-10-19
2025-01-15;KC Makassar;10596;1000000008;1000000000008;Tabungan;Nasabah 00008;PN102649;128250000;171000000;171000000;2024-07-13
2025-01-15;KC Makassar;10872;1000000009;1000000000009;Giro;Nasabah 00009;PN102951;193700000;298000000;298000000;2024-07-15
2025-01-15;KC Bandung;10388;1000000010;1000000000010;Deposito;Nasabah 00010;PN100646;206999999;460000000;460000000;2021-11-01
2025-01-15;KC Jakarta;10854;1000000011;1000000000011;Tabungan;Nasabah 00011;PN102587;148050000;329000000;329000000;2024-01-16
2025-01-15;KC Medan;10452;1000000012;1000000000012;Deposito;Nasabah 00012;PN103516;256120000;337000000;337000000;2023-07-03
2025-01-15;KC Jakarta;10322;1000000013;1000000000013;Tabungan;Nasabah 00013;PN106735;71059999;323000000;323000000;2023-08-07
2025-01-15;KC Surabaya;10352;1000000014;1000000000014;Deposito;Nasabah 00014;PN104486;278730000;489000000;489000000;2020-09-15
